ticker_a,ticker_b
KO,PEP
XOM,CVX
V,MA
JPM,BAC
HD,LOW
MCD,YUM
WMT,TGT
CME,ICE
EXPE,BKNG
UPS,FDX
SO,DUK
CCI,AMT
FOX,FOXA
AEE,CNP
ALL,TRV
NI,CNP
PPL,WEC
WEC,EXC
PSX,VLO
F,GM
CMS,CNP
CPT,UDR
LNT,EVRG
AFL,PFG
AVGO,NVDA
MTD,IQV
QCOM,NXPI
SYK,BSX
MTD,TMO
CPT,EQR
LNT,AEP
XEL,CNP
DTE,CNP
SYK,ABT
SYK,PODD
ES,FE
DUK,AEP
INTC,MU
NXPI,ON
AEE,NI
PPG,IFF
CMS,NI
FTV,IEX
KLAC,LRCX
RMD,PODD
HPE,DELL
DUK,EVRG
SO,DUK
STZ,BF-B
PFE,MRK
DGX,CVS
LNT,ETR
MRSH,BRO
MRVL,TXN
SBAC,AMT
ITW,HUBB
ZBH,BAX
A,IQV
NVR,LEN
WDAY,TYL
ABT,PODD
AFL,GL
MRK,VTRS
PG,KVUE
AMZN,EBAY
SYK,RMD
PNC,USB
REG,SPG
DUK,ETR
DG,DLTR
ITW,PH
ABT,BSX
PPL,EXC
NXPI,MRVL
AON,AJG
KO,MNST
AMT,CCI
BX,KKR
RL,TPR
OXY,COP
NXPI,INTC
CPT,ESS
KEY,CFG
NXPI,AMD
CMS,DTE
IQV,TMO
OXY,FANG
IBKR,MS
NOC,HII
CMS,XEL
RVTY,BDX
DVN,APA
FICO,CRM
GOOGL,GOOG
CMI,CAT
OXY,EOG
IBKR,GS
NXPI,MU
CHRW,EXPD
VMC,CRH
SBAC,CCI
DUK,FE
AME,VRT
PPL,ETR
PPL,DUK
DUK,LNT
ALGN,COO
SO,ES
TXT,LMT
ADSK,PTC
MRVL,AMD
ITW,SNA
AAPL,WDC
NXPI,TXN
MCHP,ON
DVN,COP
LUV,DAL
CCL,RCL
SRE,NEE
ABBV,INCY
LH,CVS
TFC,C
ITW,DOV
MRVL,INTC
ADBE,TYL
HUBB,NDSN
BA,GE
AAPL,HPE
DUK,ES
MCO,SPGI
SLB,HAL
ADBE,FICO
ES,AEP
ELV,CNC
MDT,STE
DUK,EXC
KMI,WMB
RF,KEY
MU,AMD
UDR,AVB
CRH,MLM
CPT,AVB
ADSK,INTU
SO,EVRG
CMS,AEE
CDNS,DDOG
PWR,FIX
AMCR,AVY
AEP,EVRG
MDT,IDXX
FICO,WDAY
EQR,UDR
NTRS,BNY
MSFT,GOOGL
NVDA,AMD
NVDA,AVGO
NVDA,TSM
MSFT,CRM
AMZN,MSFT
WDC,STX
TSLA,SPCX
GOOG,GOOGL
DASH,META
ROP,TRI
SPY,QQQ
XLE,XOP
XLF,KBE
XLE,VDE
XLI,VIS
XLP,VDC
SPY,SCHB
VGT,XLK
EWA,EWC
VTV,SCHV
VUG,SPMO
XLU,VPU
IYR,VNQ
IAI,VFH
IBB,XLV
GLD,SLV
